y,x1,x2,x3,x4
29,33,53,3.32,3.42
24,31,36,3.1,3.26
26,33,51,3.18,3.18
22,37,51,3.39,3.08
27,36,54,3.2,3.41
21,35,35,3.03,3.03
33,59,56,4.78,4.57
34,60,60,4.72,4.72
32,59,60,4.6,4.41
34,60,60,4.53,4.53
20,34,35,2.9,2.95
36,60,59,4.4,4.36
34,60,62,4.31,4.42
23,60,36,4.27,3.94
24,62,38,4.41,3.49
32,62,61,4.39,4.39
40,90,64,7.32,6.7
46,90,60,7.32,7.2
55,92,92,7.45,7.45
52,91,92,7.27,7.26
29,61,62,3.91,4.08
22,59,42,3.75,3.45
31,88,65,6.48,5.8
45,91,89,6.7,6.6
37,63,62,4.3,4.3
37,60,61,4.02,4.1
33,60,62,4.02,3.89
27,59,62,3.98,4.02
34,59,62,4.39,4.53
19,37,35,2.75,2.64
16,35,35,2.59,2.59
22,37,37,2.73,2.59
